ACAO_NECESSARIA;SECRETARIA;PROGRAMA;ACAO;NATUREZA;VINCULO;COD_APLICACAO;PROCESSO;SUBELEMENTO;OBSERVACAO;ORIGEM;VALOR_CORRETO_16_09;VALOR_ATUAL;DIFERENCA;ID_INTERNO
"EXCLUIR LINHA (nao deveria existir)";"08 - SECRETARIA DE EDUCAÇÃO";"0016 - Escola para Todos";"2.017 - Suporte ao Aluno";"3.3.90.32.00 - MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA";"90.32";"";"PA 2540/2024 - ESTOJO - 01.110.0000";"OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA";"";"Planilha LOA";0,00;5026231,00;-5026231,00;"08 - SECRETARIA DE EDUCAÇÃO|2.017 - Suporte ao Aluno|3.3.90.32.00 - MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA|90.32||PA 2540/2024 - ESTOJO - 01.110.0000|OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA"
"EXCLUIR LINHA (nao deveria existir)";"08 - SECRETARIA DE EDUCAÇÃO";"0016 - Escola para Todos";"2.011 - Manutenção de Equipamentos Públicos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"200.0000";"—";"SERVIÇOS DE ENERGIA ELÉTRICA";"ARP - Subfunção 12.361 Programa 0016";"Lançamento manual";0,00;3125000,00;-3125000,00;"manual-1789476317227-g210s"
"EXCLUIR LINHA (nao deveria existir)";"08 - SECRETARIA DE EDUCAÇÃO";"0016 - Escola para Todos";"2.011 - Manutenção de Equipamentos Públicos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"200.0000";"—";"SERVIÇOS DE ENERGIA ELÉTRICA";"ARP - Subfunção 12.365 Programa 0016";"Lançamento manual";0,00;1860000,00;-1860000,00;"manual-1789476749395-z7i37"
"EXCLUIR LINHA (nao deveria existir)";"08 - SECRETARIA DE EDUCAÇÃO";"0016 - Escola para Todos";"2.011 - Manutenção de Equipamentos Públicos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"200.0000";"—";"SERVIÇOS DE TELECOMUNICAÇÕES";"Subfunção 12.361 Programa 0016";"Lançamento manual";0,00;350000,00;-350000,00;"manual-1789476258060-lrzz5"
"EXCLUIR LINHA (nao deveria existir)";"08 - SECRETARIA DE EDUCAÇÃO";"0016 - Escola para Todos";"2.011 - Manutenção de Equipamentos Públicos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"200.0000";"—";"SERVIÇOS DE TELECOMUNICAÇÕES";"Subfunção 12.365 Programa 0016";"Lançamento manual";0,00;288000,00;-288000,00;"manual-1789476672091-19auj"
"EXCLUIR LINHA (nao deveria existir)";"08 - SECRETARIA DE EDUCAÇÃO";"0001 - Administração e Coordenação Geral";"2.011 - Manutenção de Equipamentos Públicos";"3.3.90.30.00 - MATERIAL DE CONSUMO";"90.30";"";"";"";"";"Planilha LOA";0,00;0,00;0,00;"08 - SECRETARIA DE EDUCAÇÃO|2.011 - Manutenção de Equipamentos Públicos|3.3.90.30.00 - MATERIAL DE CONSUMO|90.30|||"
"EXCLUIR LINHA (nao deveria existir)";"09 - SECRETARIA DA SAÚDE";"0015 - Atenção e Cuidado em Saúde";"2.012 - Manutenção de Equipamentos Públicos - Atenção Primária";"";"Tesouro / Próprio";"";"PMM - 3.3.90.48";"";"";"Planilha LOA";0,00;3037000,00;-3037000,00;"09 - SECRETARIA DA SAÚDE|2.012 - Manutenção de Equipamentos Públicos - Atenção Primária||Tesouro / Próprio||PMM - 3.3.90.48|"
"EXCLUIR LINHA (nao deveria existir)";"09 - SECRETARIA DA SAÚDE";"0015 - Atenção e Cuidado em Saúde";"2.014 - Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"90.39";"";"65/2024";"";"";"Planilha LOA";0,00;1456608,84;-1456608,84;"09 - SECRETARIA DA SAÚDE|2.014 - Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência|3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA|90.39||65/2024|"
"EXCLUIR LINHA (nao deveria existir)";"09 - SECRETARIA DA SAÚDE";"0015 - Atenção e Cuidado em Saúde";"1.002 - Reforma e Ampliação de Unidades";"";"Tesouro / Próprio";"";"4.4.90.51";"";"";"Planilha LOA";0,00;5,00;-5,00;"09 - SECRETARIA DA SAÚDE|1.002 - Reforma e Ampliação de Unidades||Tesouro / Próprio||4.4.90.51|"
"EXCLUIR LINHA (nao deveria existir)";"09 - SECRETARIA DA SAÚDE";"0015 - Atenção e Cuidado em Saúde";"2.012 - Manutenção de Equipamentos Públicos - Atenção Primária";"";"Tesouro / Próprio";"";"";"";"";"Planilha LOA";0,00;0,00;0,00;"09 - SECRETARIA DA SAÚDE|2.012 - Manutenção de Equipamentos Públicos - Atenção Primária||Tesouro / Próprio|||"
"EXCLUIR LINHA (nao deveria existir)";"09 - SECRETARIA DA SAÚDE";"0015 - Atenção e Cuidado em Saúde";"1.002 - Reforma e Ampliação de Unidades";"";"Tesouro / Próprio";"";"";"";"";"Planilha LOA";0,00;0,00;0,00;"09 - SECRETARIA DA SAÚDE|1.002 - Reforma e Ampliação de Unidades||Tesouro / Próprio|||"
"EXCLUIR LINHA (nao deveria existir)";"11 - SECRETARIA DE SERVIÇOS E OBRAS";"0007 - Meio Ambiente, Sustentabilidade e Bem-Estar Animal​";"2.039 - Limpeza Urbana e Gestão de Resíduos Sólidos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"110.0000";"CA: 110.0000";"LIMPEZA E CONSERVAÇÃO";"";"Lançamento manual";0,00;250000,00;-250000,00;"manual-1787160204708-fxui3"
"EXCLUIR LINHA (nao deveria existir)";"11 - SECRETARIA DE SERVIÇOS E OBRAS";"0007 - Meio Ambiente, Sustentabilidade e Bem-Estar Animal​";"2.039 - Limpeza Urbana e Gestão de Resíduos Sólidos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"110.0000";"CA: 110.0000";"LIMPEZA E CONSERVAÇÃO";"";"Lançamento manual";0,00;25000,00;-25000,00;"manual-1787160600169-byzb0"
"EXCLUIR LINHA (nao deveria existir)";"11 - SECRETARIA DE SERVIÇOS E OBRAS";"0007 - Meio Ambiente, Sustentabilidade e Bem-Estar Animal​";"2.039 - Limpeza Urbana e Gestão de Resíduos Sólidos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"110.0000";"CA: 110.0000";"LIMPEZA E CONSERVAÇÃO";"";"Lançamento manual";0,00;25000,00;-25000,00;"manual-1787159556711-skne5"
"EXCLUIR LINHA (nao deveria existir)";"11 - SECRETARIA DE SERVIÇOS E OBRAS";"0007 - Meio Ambiente, Sustentabilidade e Bem-Estar Animal​";"2.039 - Limpeza Urbana e Gestão de Resíduos Sólidos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"110.0000";"CA: 110.0000";"LIMPEZA E CONSERVAÇÃO";"";"Lançamento manual";0,00;25000,00;-25000,00;"manual-1787159720635-e5r8w"
"EXCLUIR LINHA (nao deveria existir)";"11 - SECRETARIA DE SERVIÇOS E OBRAS";"0007 - Meio Ambiente, Sustentabilidade e Bem-Estar Animal";"2.039 - Limpeza Urbana e Gestão de Resíduos Sólidos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"110.0000";"CA: 110.0000";"LIMPEZA E CONSERVAÇÃO";"";"Lançamento manual";0,00;25000,00;-25000,00;"manual-1787161483172-4vmca"
"EXCLUIR LINHA (nao deveria existir)";"11 - SECRETARIA DE SERVIÇOS E OBRAS";"0007 - Meio Ambiente, Sustentabilidade e Bem-Estar Animal​";"2.039 - Limpeza Urbana e Gestão de Resíduos Sólidos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"110.0000";"CA: 110.0000";"LIMPEZA E CONSERVAÇÃO";"";"Lançamento manual";0,00;25000,00;-25000,00;"manual-1787160231922-fwz7i"
"EXCLUIR LINHA (nao deveria existir)";"11 - SECRETARIA DE SERVIÇOS E OBRAS";"0007 - Meio Ambiente, Sustentabilidade e Bem-Estar Animal​";"2.039 - Limpeza Urbana e Gestão de Resíduos Sólidos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"110.0000";"CA: 110.0000";"LIMPEZA E CONSERVAÇÃO";"";"Lançamento manual";0,00;3000,00;-3000,00;"manual-1787160332714-kmejh"
