UG;secretaria;unidade;funcao;subfuncao;programa;acao;natureza;Programática_LOA;secretaria;unidade;funcao;subfuncao;programa;acao;natureza;desc_sub;processo; valor ;Peça Orçamentária;Vínculo;Tipo de despesa;INICIADO;OBS.
11;11;001;04;122;0011;2.011;3.3.90.40;11.001.04.122.0011.2.011.3.3.90.40.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122- Administração Geral;0001 - Administração e Coordenação Geral;2.011 - Manutenção de Equipamentos Públicos;3.3.90.40.00 - SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PESSOA JURÍDICA;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PESSOA JURÍDICA;"PROCESSO 1058/2025 -LICENÇA MEDIC TOPO-1.690,00 CONTRATO PARA 12 MESES -PROCESSO 942/2025 VALOR 3.000,00 CONTRATO POR 12 MESES -SINAL PARA LEVANTAMENTO TOPOGRAFICO";4690;LOA;01.110.0000;2. Atividade;;
11;11;001;04;121;0004;1.001;3.3.90.39.00;11.001.04.121.0004.1.001.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;121-PLANEJAMENTO E ORÇAMENTO;0004 - Planejamento e Gestão de Políticas Públicas;"1.001 - Estudos, Pesquisas, Planos e Projetos";3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;2358/2025- ARP;1000000;LOA;01.110.0000;1. Projeto;NÃO;ARP DE SONDAGEM - ESTÁ EM LICITAÇÃO
11;11;001;04;122;0001;1.001;3.3.90.30.00;11.001.04.122.0001.1.001.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0001 - Administração e Coordenação Geral;"1.001 - Estudos, Pesquisas, Planos e Projetos";3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL DE COPA E COZINHA;581/2025-3541/2024;0;LOA;01.110.0000;1. Projeto;SIM;COMPRA DE MATERIAL PARA USO CONTINUO -ATRAVES DAS ATAS DE REGISTRO DE PREÇOS
11;11;001;04;122;0001;1.001;3.3.90.30.00;11.001.04.122.0001.1.001.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0001 - Administração e Coordenação Geral;"1.001 - Estudos, Pesquisas, Planos e Projetos";3.3.90.30.00 - MATERIAL DE CONSUMO;GÁS ENGARRAFADO;25961/2022;0;LOA;01.110.0000;1. Projeto;SIM;COMPRA DE MATERIAL PARA USO CONTINUO -ATRAVES DAS ATAS DE REGISTRO DE PREÇOS
11;11;001;04;122;0001;1.001;3.3.90.30.00;11.001.04.122.0001.1.001.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0001 - Administração e Coordenação Geral;"1.001 - Estudos, Pesquisas, Planos e Projetos";3.3.90.30.00 - MATERIAL DE CONSUMO;FERRAMENTAS;2234/2024;0;LOA;01.110.0000;1. Projeto;SIM;COMPRA DE MATERIAL PARA USO CONTINUO -ATRAVES DAS ATAS DE REGISTRO DE PREÇOS
11;11;001;04;122;0001;1.001;3.3.90.30.00;11.001.04.122.0001.1.001.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0001 - Administração e Coordenação Geral;"1.001 - Estudos, Pesquisas, Planos e Projetos";3.3.90.30.00 - MATERIAL DE CONSUMO;GÊNEROS DE ALIMENTAÇÃO;3541/2024;0;LOA;01.110.0000;1. Projeto;SIM;COMPRA DE MATERIAL PARA USO CONTINUO -ATRAVES DAS ATAS DE REGISTRO DE PREÇOS
11;11;001;04;122;0001;1.001;3.3.90.30.00;11.001.04.122.0001.1.001.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0001 - Administração e Coordenação Geral;"1.001 - Estudos, Pesquisas, Planos e Projetos";3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL DE EXPEDIENTE;581/2025;0;LOA;01.110.0000;1. Projeto;SIM;COMPRA DE MATERIAL PARA USO CONTINUO -ATRAVES DAS ATAS DE REGISTRO DE PREÇOS
11;11;001;04;122;0001;1.001;3.3.90.30.00;11.001.04.122.0001.1.001.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0001 - Administração e Coordenação Geral;"1.001 - Estudos, Pesquisas, Planos e Projetos";3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL DE LIMPEZA E PRODUTOS DE HIGIENIZAÇÃO;850/2024;0;LOA;01.110.0000;1. Projeto;SIM;COMPRA DE MATERIAL PARA USO CONTINUO -ATRAVES DAS ATAS DE REGISTRO DE PREÇOS
11;11;001;04;122;0001;1.002;3.3.90.30.00;11.001.04.122.0001.1.002.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0001 - Administração e Coordenação Geral;1.002 - Reforma e Ampliação de Unidades;3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;—;1;LOA;01.110.0000;1. Projeto;;
11;11;001;04;122;0011;1.002;3.3.90.39.00;11.001.04.122.0011.1.002.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;1.002 - Reforma e Ampliação de Unidades;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIRO PESSOA JURÍDICA - PAGAMENTO ANTECIPADO;DE REFORMA DE PRAÇA -1999/24;0;LOA;01.110.0000;1. Projeto;;
