PROGRAMÁTICA,VALOR FINAL ARREDONDADO
01.001.01.031.0003.2.042.4.4.50.52.01.110.0000,"2.000.000,00 "
02.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"22.500,00 "
02.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"6.500,00 "
02.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"5.000,00 "
02.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"0,00 "
02.012.04.122.0001.2.011.3.3.90.30.01.110.0000,"527.764,00 "
02.012.04.122.0001.2.011.3.3.90.39.01.110.0000,"0,00 "
02.012.04.122.0001.2.011.4.4.90.52.01.110.0000,"0,00 "
02.012.04.122.0001.2.011.4.4.90.52.08.110.0000,"66.669,00 "
02.012.04.122.0001.2.011.4.4.90.52.08.110.0000,"25.000,00 "
02.012.04.122.0001.2.011.4.4.90.52.01.110.0000,"0,00 "
02.012.04.122.0001.2.011.4.4.90.52.01.110.0000,"0,00 "
04.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"15.000,00 "
04.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"15.000,00 "
04.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"0,00 "
04.001.04.122.0001.2.011.4.4.90.52.01.110.0000,"0,00 "
05.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"6.000,00 "
05.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"9.000,00 "
05.001.04.122.0001.2.011.4.4.90.52.01.110.0000,"0,00 "
06.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"10.000,00 "
06.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"25.000,00 "
06.001.04.122.0001.2.011.4.4.90.52.01.110.0000,"0,00 "
08.001.12.122.0001.2.011.3.3.90.30.01.110.0000,"50.000,00 "
08.001.12.122.0001.2.011.3.3.90.39.01.110.0000,"50.000,00 "
08.001.12.122.0001.2.011.4.4.90.52.01.200.0000,"1,00 "
08.001.12.361.0016.2.011.3.3.90.30.01.200.0000,"1,00 "
08.001.12.361.0016.2.011.3.3.90.39.01.200.0000,"1,00 "
08.001.12.361.0016.2.011.4.4.90.52.01.110.0000,"1,00 "
08.001.12.365.0016.2.011.3.3.90.30.01.200.0000,"0,00 "
08.001.12.365.0016.2.011.3.3.90.30.01.200.0000,"1,00 "
08.001.12.365.0016.2.011.3.3.90.39.01.200.0000,"1,00 "
08.001.12.365.0016.2.011.4.4.90.52.01.200.0000,"1,00 "
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"23.580,00 "
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"375.000,00 "
09.015.10.122.0014.2.011.3.3.90.39.01.110.0000,"1.771.439,00 "
09.015.10.122.0014.2.011.3.3.90.39.01.310.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.39.02.310.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.39.05.301.0000,"0,00 "
09.015.10.122.0014.2.011.4.4.90.51.01.110.0000,"0,00 "
09.015.10.122.0014.2.011.4.4.90.51.01.310.0000,"0,00 "
09.015.10.122.0014.2.011.4.4.90.51.02.310.0000,"0,00 "
09.015.10.122.0014.2.011.4.4.90.51.05.301.0000,"0,00 "
11.001.04.122.0011.2.011.3.3.90.30.01.110.0000,"0,00 "
11.001.04.122.0011.2.011.3.3.90.39.01.110.0000,"10.000,00 "
11.001.04.122.0011.2.011.4.4.90.52.01.110.0000,"30.000,00 "
12.001.27.812.0010.2.011.3.3.90.30.01.110.0000,"0,00 "
12.001.27.812.0010.2.011.3.3.90.39.01.110.0000,"0,00 "
12.001.27.812.0010.2.011.4.4.90.52.01.110.0000,"0,00 "
12.001.27.812.0010.2.011.4.4.90.52.01.110.0000,"0,00 "
13.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"30.000,00 "
13.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"20.000,00 "
13.001.04.122.0001.2.011.4.4.90.52.01.110.0000,"60.000,00 "
13.001.16.482.0012.1.009.4.4.90.52.08.110.0000,"101.000,00 "
14.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"5.000,00 "
14.001.04.122.0001.2.011.4.4.90.52.01.110.0000,"25.000,00 "
15.001.13.392.0009.2.011.3.3.90.39.01.110.0000,"43.000,00 "
15.001.13.392.0009.2.011.4.4.90.52.01.110.0000,"0,00 "
16.001.23.334.0008.2.011.3.3.90.39.01.110.0000,"10.000,00 "
