linha_planilha;secretaria;unidade;programa;acao;natureza;desc_sub;valor;vinculo_atual;motivo;vinculo_proposto
346;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;0001-Administração e Coordenação Geral​;1.002-Reforma e Ampliação de Unidades;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;"500000,00";;vínculo em branco;01.200.0000
347;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;0016-Escola para Todos​;1.002-Reforma e Ampliação de Unidades;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;"19500000,00";;vínculo em branco;01.200.0000
348;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;0016-Escola para Todos​;1.002-Reforma e Ampliação de Unidades;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;"10000000,00";;vínculo em branco;01.200.0000
349;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;0016-Escola para Todos​;1.003-Implantação de Novas Unidades;4.4.90.51.00-OBRAS E INSTALAÇÕES;;"0,00";;vínculo em branco;01.200.0000
350;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;0001-Administração e Coordenação Geral​;"2.001-Remuneração, Benefícios e Encargos";3.3.90.92.00-DESPESAS DE EXERCÍCIOS ANTERIORES;RESSARCIMENTO DE DESPESAS COM PESSOAL REQUISITADO;"84000,00";;vínculo em branco;01.200.0000
351;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;0001-Administração e Coordenação Geral​;"2.001-Remuneração, Benefícios e Encargos";3.3.90.96.00-RESSARCIMENTO DE DESPESAS DE PESSOAL REQUISITADO;RESSARCIMENTO DE DESPESAS COM PESSOAL REQUISITADO;"320000,00";;vínculo em branco;01.200.0000
352;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";2.003-Qualificação de Servidores e Processos Institucionais;3.3.90.36.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;OUTROS SERVIÇOS DE PESSOA FÍSICA;"1,00";;vínculo em branco;01.200.0000
353;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";2.003-Qualificação de Servidores e Processos Institucionais;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;;"1,00";;vínculo em branco;01.200.0000
354;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";"2.005-Promoção de Eventos, Comunicação e Participação Social ";3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL DE EXPEDIENTE;"420000,00";;vínculo em branco;01.200.0000
355;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";"2.005-Promoção de Eventos, Comunicação e Participação Social ";3.3.90.30.00-MATERIAL DE CONSUMO;GÊNEROS DE ALIMENTAÇÃO;"1000000,00";;vínculo em branco;01.200.0000
356;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";"2.005-Promoção de Eventos, Comunicação e Participação Social ";3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;FESTIVIDADES E HOMENAGENS;"1655000,00";;vínculo em branco;01.200.0000
357;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";"2.005-Promoção de Eventos, Comunicação e Participação Social ";"3.3.90.31.00-PREMIAÇÕES CULTURAIS, ARTÍSTICAS, CIENTÍFICAS, DESPORTIVAS E OUTRAS";"PREMIAÇÕES CULTURAIS, ARTÍSTICAS, CIENTÍFICAS, DESPORTIVAS E OUTRAS";"294000,00";;vínculo em branco;01.200.0000
358;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";"2.005-Promoção de Eventos, Comunicação e Participação Social ";3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SERVIÇOS GRÁFICOS E EDITORIAIS;"4560901,00";;vínculo em branco;01.200.0000
359;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";"2.005-Promoção de Eventos, Comunicação e Participação Social ";3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;"2848522,00";;vínculo em branco;01.200.0000
360;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";"2.005-Promoção de Eventos, Comunicação e Participação Social ";3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"153840,00";;vínculo em branco;01.200.0000
361;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";"2.005-Promoção de Eventos, Comunicação e Participação Social ";3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SERVIÇOS GRÁFICOS E EDITORIAIS;"4026072,00";;vínculo em branco;01.200.0000
362;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";"2.005-Promoção de Eventos, Comunicação e Participação Social ";3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;"1122045,00";;vínculo em branco;01.200.0000
363;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;"0002-Governo Inteligente, Aberto e Inovador​";"2.005-Promoção de Eventos, Comunicação e Participação Social ";3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"103575,00";;vínculo em branco;01.200.0000
364;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;0001-Administração e Coordenação Geral​;2.006-Representações Oficiais ;3.3.90.33.00-PASSAGENS E DESPESAS COM LOCOMOÇÃO;;"1,00";;vínculo em branco;01.200.0000
365;08 - SECRETARIA DE EDUCAÇÃO;001-GABINETE DA SECRETARIA DA EDUCAÇÃO;0001-Administração e Coordenação Geral​;2.006-Representações Oficiais ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;FESTIVIDADES E HOMENAGENS;"1,00";;vínculo em branco;01.200.0000
